bugged_date;receipt_date;deputy_id;political_party;state_code;deputy_name;receipt_social_security_number;receipt_description;establishment_name;receipt_value
0;21/07/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008858.0;Fuels and lubricants.;POSTO PETROBRAS TAQUARI;175
0;10/08/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597008858.0;Fuels and lubricants.;POSTO PETROBRAS TAQUARI;100
0;12/03/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597006308.0;Fuels and lubricants.;POSTO PETROPRAS 311 SUL;100
0;16/01/2013 00:00;1772;PSB;SP;Abelardo Camarinha;11726230000159.0;Fuels and lubricants.;POSTO QUADRA 08;105
0;22/08/2013 00:00;1772;PSB;SP;Abelardo Camarinha;5662975000107.0;Fuels and lubricants.;SMAFF Combustíveis Ltda;105
0;30/08/2013 00:00;1772;PSB;SP;Abelardo Camarinha;5662975000107.0;Fuels and lubricants.;SMAFF Combustíveis Ltda;160
0;22/04/2013 00:00;1772;PSB;SP;Abelardo Camarinha;54704945000113.0;Dissemination of the Parliamentary Activity.;AGÊNCIA WILSON MATTOS PROM. ARTÍSTICAS SC LTDA - ME;20000
0;20/05/2013 00:00;1772;PSB;SP;Abelardo Camarinha;54704945000113.0;Dissemination of the Parliamentary Activity.;AGÊNCIA WILSON MATTOS PROM. ARTÍSTICAS SC LTDA - ME;22000
0;20/06/2013 00:00;1772;PSB;SP;Abelardo Camarinha;54704945000113.0;Dissemination of the Parliamentary Activity.;AGÊNCIA WILSON MATTOS PROM. ARTÍSTICAS SC LTDA - ME;22000
0;18/07/2013 00:00;1772;PSB;SP;Abelardo Camarinha;54704945000113.0;Dissemination of the Parliamentary Activity.;AGÊNCIA WILSON MATTOS PROM. ARTÍSTICAS SC LTDA - ME;15000
0;26/08/2013 00:00;1772;PSB;SP;Abelardo Camarinha;54704945000113.0;Dissemination of the Parliamentary Activity.;AGÊNCIA WILSON MATTOS PROM. ARTÍSTICAS SC LTDA - ME;22000
0;23/09/2013 00:00;1772;PSB;SP;Abelardo Camarinha;54704945000113.0;Dissemination of the Parliamentary Activity.;AGÊNCIA WILSON MATTOS PROM. ARTÍSTICAS SC LTDA - ME;22000
0;21/10/2013 00:00;1772;PSB;SP;Abelardo Camarinha;54704945000113.0;Dissemination of the Parliamentary Activity.;AGÊNCIA WILSON MATTOS PROM. ARTÍSTICAS SC LTDA - ME;22000
0;21/11/2013 00:00;1772;PSB;SP;Abelardo Camarinha;54704945000113.0;Dissemination of the Parliamentary Activity.;AGÊNCIA WILSON MATTOS PROM. ARTÍSTICAS SC LTDA - ME;22000
0;09/12/2013 00:00;1772;PSB;SP;Abelardo Camarinha;54704945000113.0;Dissemination of the Parliamentary Activity.;AGÊNCIA WILSON MATTOS PROM. ARTÍSTICAS SC LTDA - ME;18000
1;2013;1772;PSB;SP;Abelardo Camarinha;54704945000113.0;Dissemination of the Parliamentary Activity.;AGÊNCIA WILSON MATTOS PROM. ARTÍSTICAS SC LTDA - ME;7500
0;23/02/2013 00:00;1772;PSB;SP;Abelardo Camarinha;54704945000113.0;Dissemination of the Parliamentary Activity.;PROMOÇÕES ARTÍSTICAS S/C LTDA. - ME;20000
0;03/04/2013 00:00;1772;PSB;SP;Abelardo Camarinha;49464720000105.0;Dissemination of the Parliamentary Activity.;RÁDIO CENTRAL DE POMPÉIA LTDA - ME;11000
0;03/04/2013 00:00;1772;PSB;SP;Abelardo Camarinha;57197535000200.0;Dissemination of the Parliamentary Activity.;STÚDIO CEM FM STÉREO LTDA;11000
0;04/03/2013 00:00;1772;PSB;SP;Abelardo Camarinha;9296295005633.0;Airline tickets;LINHAS AÉREAS BRASILEIRAS;323
1;2013;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;271
1;2013;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;135
0;09/04/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;5
0;11/04/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;134
0;25/04/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;0
0;13/05/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;134
0;14/05/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;20
0;21/05/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;12
